iter	Passed	Remaining
431	1674	2201
432	1678	2197
433	1681	2193
434	1685	2189
435	1689	2185
436	1694	2182
437	1698	2179
438	1702	2175
439	1706	2171
440	1710	2167
441	1714	2164
442	1717	2160
443	1721	2156
444	1725	2152
445	1729	2148
446	1732	2143
447	1736	2139
448	1740	2135
449	1744	2131
450	1747	2127
451	1751	2123
452	1755	2120
453	1759	2116
454	1763	2112
455	1767	2108
456	1770	2104
457	1774	2100
458	1778	2096
459	1782	2092
460	1786	2088
461	1790	2085
462	1794	2080
463	1797	2076
464	1801	2072
465	1805	2068
466	1808	2064
467	1812	2060
468	1816	2056
469	1820	2053
470	1824	2049
471	1828	2045
472	1832	2041
473	1835	2037
474	1840	2033
475	1844	2030
476	1848	2026
477	1852	2022
478	1856	2018
479	1861	2016
480	1865	2012
481	1869	2008
482	1873	2005
483	1876	2001
484	1881	1997
485	1885	1993
486	1888	1989
487	1893	1986
488	1896	1982
489	1900	1978
490	1904	1974
491	1908	1970
492	1912	1966
493	1916	1962
494	1920	1959
495	1924	1955
496	1927	1951
497	1931	1947
498	1935	1943
499	1940	1940
500	1945	1937
501	1949	1933
502	1952	1929
503	1956	1925
504	1960	1922
505	1964	1918
506	1968	1914
507	1972	1910
508	1976	1906
509	1980	1902
510	1984	1898
511	1988	1895
512	1992	1891
513	1996	1887
514	2000	1883
515	2004	1880
516	2008	1876
517	2012	1872
518	2016	1868
519	2020	1864
520	2024	1860
521	2027	1856
522	2031	1852
523	2034	1848
524	2039	1844
525	2043	1841
526	2046	1837
527	2051	1833
528	2054	1829
529	2058	1825
530	2062	1821
531	2066	1817
532	2070	1814
533	2074	1810
534	2078	1806
535	2082	1802
536	2086	1798
537	2091	1795
538	2095	1792
539	2099	1788
540	2103	1785
541	2109	1782
542	2114	1779
543	2117	1775
544	2123	1772
545	2128	1769
546	2132	1766
547	2136	1762
548	2142	1760
549	2147	1756
550	2151	1753
551	2157	1750
552	2161	1747
553	2166	1744
554	2171	1741
555	2178	1739
556	2183	1736
557	2190	1735
558	2197	1733
559	2205	1732
560	2210	1730
561	2214	1726
562	2219	1723
563	2224	1720
564	2228	1716
565	2233	1712
566	2238	1709
567	2242	1705
568	2246	1701
569	2250	1697
570	2255	1694
571	2259	1690
572	2263	1686
573	2268	1683
574	2272	1679
575	2276	1675
576	2280	1671
577	2285	1668
578	2289	1665
579	2293	1661
580	2298	1657
581	2301	1653
582	2305	1649
583	2309	1645
584	2313	1641
585	2318	1637
586	2321	1633
587	2325	1629
588	2329	1625
589	2333	1621
590	2337	1617
591	2341	1613
592	2345	1609
593	2349	1605
594	2353	1601
595	2357	1597
596	2361	1593
597	2364	1589
598	2368	1585
599	2372	1581
600	2376	1577
601	2380	1574
602	2384	1570
603	2388	1565
604	2392	1561
605	2396	1557
606	2400	1554
607	2404	1549
608	2408	1546
609	2412	1542
610	2416	1538
611	2420	1534
612	2424	1530
613	2428	1526
614	2432	1522
615	2436	1518
616	2440	1514
617	2444	1510
618	2448	1507
619	2452	1503
620	2458	1500
621	2462	1496
622	2467	1493
623	2471	1489
624	2475	1485
625	2480	1482
626	2485	1478
627	2489	1474
628	2493	1470
629	2498	1467
630	2503	1464
631	2507	1460
632	2511	1456
633	2516	1452
634	2522	1449
635	2526	1445
636	2534	1444
637	2539	1441
638	2546	1438
639	2551	1435
640	2555	1431
641	2561	1428
642	2569	1426
643	2574	1423
644	2581	1420
645	2585	1416
646	2588	1412
647	2595	1409
648	2600	1406
649	2604	1402
650	2610	1399
651	2615	1396
652	2619	1392
653	2623	1388
654	2629	1384
655	2634	1381
656	2638	1377
