iter	Logloss
211	0.3929692634
212	0.3928823888
213	0.3926198397
214	0.3922733883
215	0.3921168654
216	0.3918958958
217	0.391765415
218	0.3915983199
219	0.3913543482
220	0.3910948052
221	0.3908516441
222	0.3906442529
223	0.3904528721
224	0.3901959637
225	0.3900348471
226	0.3898115807
227	0.3896610026
228	0.38933958
229	0.3891110782
230	0.3889025724
231	0.3887861766
232	0.388489006
233	0.3884074006
234	0.3882012592
235	0.3880313943
236	0.3879135123
237	0.3875469636
238	0.3872583724
239	0.3869723482
240	0.3868035304
241	0.3866412316
242	0.3864597137
243	0.386352404
244	0.3860432087
245	0.3858511185
246	0.3856447407
247	0.3853640195
248	0.3851772323
249	0.3850011187
250	0.384753499
251	0.3845464118
252	0.3843398651
253	0.3841380471
254	0.3839342363
255	0.3838153073
256	0.3835757266
257	0.3832529867
258	0.3831311528
259	0.3829540259
260	0.3826748247
261	0.3825130325
262	0.3824381826
263	0.3820758898
264	0.3819433486
265	0.3818779899
266	0.3815330248
267	0.3813881212
268	0.381232544
269	0.3811577616
270	0.3809348667
271	0.3808088445
272	0.3806391148
273	0.3804370266
274	0.3801386738
275	0.3799790434
276	0.3797410164
277	0.3795999634
278	0.379453506
279	0.3792694886
280	0.379067907
281	0.3789295224
282	0.3787510782
283	0.3785420657
284	0.3782631347
285	0.3779351594
286	0.377807347
287	0.37765356
288	0.3774252946
289	0.3772408718
290	0.3769744046
291	0.3768109236
292	0.3766389307
293	0.3764878122
294	0.3762659644
295	0.3759933159
296	0.3758371646
297	0.3757499184
298	0.3755971785
299	0.3754051221
300	0.3750671488
301	0.3748890761
302	0.3744972622
303	0.374380934
304	0.3742070496
305	0.3740558973
306	0.3739375086
307	0.373720187
308	0.3735209361
309	0.3733426608
310	0.3732141052
311	0.3730554882
312	0.3728779897
313	0.3726856968
314	0.3725072864
315	0.3722163983
316	0.3720092436
317	0.3718718385
318	0.37176919
319	0.3715510239
320	0.3714370601
321	0.371276619
322	0.3711414432
323	0.3709003425
324	0.3706691047
325	0.370526194
326	0.370295598
327	0.3701500526
328	0.3699993731
329	0.3698205573
330	0.3695589539
331	0.3692582367
332	0.3689497846
333	0.3688052863
334	0.3686414675
335	0.3685037247
336	0.3683075475
337	0.3682206053
338	0.3680355745
339	0.3678121393
340	0.3675799219
341	0.3674612293
342	0.3673778675
343	0.3671658151
344	0.3670563099
345	0.3667635303
346	0.3666132899
347	0.366397522
348	0.3661982711
349	0.3660185771
350	0.3659284261
351	0.365654359
352	0.3655335047
353	0.3653977884
354	0.3651309834
355	0.364996044
356	0.3647595708
357	0.3645643056
358	0.3643114505
359	0.3641724241
360	0.364081834
361	0.3639082199
362	0.3638168867
363	0.3635004969
364	0.363348669
365	0.3631106083
366	0.3628819375
367	0.3627410872
368	0.3624511449
369	0.3623185361
370	0.3621559671
371	0.3620160287
372	0.3619308429
373	0.3618029968
374	0.3615594303
375	0.3613472766
376	0.3610826671
377	0.3609240162
378	0.3608198477
379	0.3606358303
380	0.3605560826
381	0.3604045249
382	0.360292554
383	0.360143766
384	0.3599576544
385	0.3598161285
386	0.3597326991
387	0.3595800268
388	0.359449242
389	0.3592886658
390	0.3592251649
391	0.3590441199
392	0.3589595421
393	0.3588286222
394	0.3587173943
395	0.3585055783
396	0.3581915868
397	0.3580090555
398	0.3578965779
399	0.3576228485
400	0.3574200848
401	0.3572605895
402	0.3571090994
403	0.3569465641
404	0.3567315056
405	0.3565179332
406	0.3562658887
407	0.3561163914
408	0.3559031231
409	0.3556895169
410	0.3555408978
411	0.3552947981
412	0.3550349174
413	0.3549218993
414	0.354676948
415	0.3545069819
416	0.3543398529
417	0.3539292589
418	0.3538023923
419	0.3536336083
420	0.3534284802
421	0.353327149
422	0.3530547707
423	0.352796106
424	0.3526274571
425	0.3525336919
426	0.3523943953
427	0.3519105051
428	0.3517036206
429	0.3515358837
430	0.3513811847
431	0.3512334101
432	0.351156297
433	0.3509373541
434	0.3508424068
435	0.3506224167
436	0.3505245646
437	0.3504480595
438	0.3503249759
439	0.3502120592
440	0.3500189557
441	0.3499152263
442	0.3498360529
443	0.3496009307
444	0.3492367802
445	0.3491123793
446	0.3489985506
447	0.3488529714
448	0.3487153636
449	0.3486105872
450	0.3483759379
451	0.3482854829
452	0.348200635
453	0.3480487733
454	0.3479033968
455	0.3477837922
456	0.3476597628
457	0.347378839
458	0.3472103252
459	0.3470324552
460	0.3468715412
461	0.3467966237
462	0.3467102895
463	0.3465678179
464	0.3464340607
465	0.3461477663
466	0.346033566
467	0.3459316944
468	0.3457756781
469	0.3456007129
470	0.3454024078
471	0.3449051081
472	0.3446462069
473	0.3443964255
474	0.34392
475	0.3437827638
476	0.343537272
477	0.3434300636
478	0.3433510591
479	0.3432194636
480	0.3430770933
481	0.3428781464
482	0.3428076874
483	0.3426731196
484	0.3424368153
485	0.342000956
486	0.341694902
487	0.3416117767
488	0.3413837139
489	0.3409834557
490	0.3408992833
491	0.3407855221
492	0.3406491979
493	0.3405588105
494	0.3403159534
495	0.3399756157
496	0.3397219499
497	0.3395479642
498	0.3394145786
499	0.3391298042
500	0.3387765299
501	0.3386152782
502	0.3382377857
503	0.3381296991
504	0.3380238417
505	0.3379422364
506	0.3378175314
507	0.3375009728
508	0.3373308039
509	0.3371980938
510	0.336926864
511	0.3368305318
512	0.3366996795
513	0.3364977264
514	0.3364128446
515	0.3362785132
516	0.336052038
517	0.3357024116
518	0.3356253324
519	0.3354422607
520	0.3352813467
521	0.3350444344
522	0.3348499461
523	0.3347223025
524	0.3345428112
525	0.3343534232
526	0.3342017642
527	0.3341286031
528	0.3340382156
529	0.3339449234
530	0.333825893
531	0.3336429227
532	0.3335285535
533	0.3334398549
534	0.3333368011
535	0.3332409756
536	0.3330548977
537	0.3328328811
538	0.3325245978
539	0.3324101611
540	0.3322334733
541	0.3320810374
542	0.3319297837
543	0.3317291142
544	0.331598228
545	0.3315324303
546	0.331387932
547	0.3313028476
548	0.331192633
549	0.3310621522
550	0.3308979619
551	0.3307526192
552	0.3305737697
553	0.3303155778
554	0.3301522319
555	0.3300453612
556	0.3299406186
557	0.3297796371
558	0.3296366925
559	0.3294374754
560	0.3292733864
561	0.3291054131
562	0.3289430805
563	0.3288550237
564	0.3286691823
565	0.3284778352
566	0.3282663908
567	0.3282021468
568	0.3281185148
569	0.3280256279
570	0.3278633629
571	0.3277125145
572	0.3274768857
573	0.3273090137
574	0.3271655962
575	0.3270937862
576	0.3269491528
577	0.3267406808
578	0.3266120577
579	0.3265223458
580	0.3264270945
581	0.3262364905
582	0.3261629916
583	0.3260200809
584	0.3259219247
585	0.3257815135
586	0.3256659959
587	0.3255742912
588	0.32534508
589	0.3252018653
590	0.3250234548
591	0.3249667431
592	0.3248857795
593	0.3247124018
594	0.324604957
595	0.324397836
596	0.3241947683
597	0.3239924437
598	0.3239364075
599	0.3238397713
600	0.3237846472
601	0.3236014404
602	0.3233933736
603	0.323158319
604	0.3230108484
605	0.3229288714
606	0.3228528055
607	0.3227143871
608	0.3226252832
609	0.3224867634
610	0.3224327877
611	0.3223493921
612	0.3221594299
613	0.3219830461
614	0.3219263006
615	0.3217818361
616	0.3217144509
617	0.3216327779
618	0.3215184425
619	0.3214085658
620	0.3211795235
621	0.321008848
622	0.3208763743
623	0.3207931476
624	0.3207291739
625	0.320615514
626	0.3205388739
627	0.3204458181
628	0.3202769665
629	0.3202165731
630	0.3201656711
631	0.3199470997
632	0.3196783356
633	0.3196263865
634	0.3194239605
635	0.3192237976
636	0.3190978092
637	0.3189720234
638	0.3188296869
639	0.3186338137
640	0.3184441217
641	0.3182536528
642	0.3180311633
643	0.3178971359
644	0.3178175909
645	0.3176646146
646	0.3174992083
647	0.3173599792
648	0.3171142173
649	0.3169364824
650	0.3167887415
651	0.3166342114
652	0.3164911655
653	0.3163023855
654	0.3162306768
655	0.316105195
656	0.3159465441
657	0.3157764091
658	0.3156255269
659	0.3154834606
660	0.3153376788
661	0.3152057456
662	0.3150132838
663	0.3149404267
664	0.314738271
665	0.3146670689
666	0.3145448635
667	0.3144741343
668	0.3143132542
669	0.3142410726
670	0.3140574605
671	0.3138659445
672	0.3137192169
673	0.3135800554
674	0.3134925728
675	0.3133832365
676	0.3132960916
677	0.3131941187
678	0.3130726564
679	0.3129310629
680	0.3128647585
681	0.3127295489
682	0.3126031552
683	0.3123965071
684	0.3122408624
685	0.3120976138
686	0.311901538
687	0.3117734216
688	0.3115867019
689	0.3114467636
690	0.311333374
691	0.311210493
692	0.3110612321
693	0.3109526389
694	0.3107678783
695	0.3106528337
696	0.3105917309
697	0.3104370995
698	0.3103584328
699	0.3102335252
700	0.310087642
701	0.3100233305
702	0.3098562016
703	0.3097647333
704	0.3096435412
705	0.3094679004
706	0.3093935571
707	0.309213424
708	0.3090881111
709	0.3089727287
710	0.3088534281
711	0.3086851507
712	0.3086320532
713	0.3085412942
714	0.3084062873
715	0.3083120493
716	0.3082321665
717	0.3080408532
718	0.3079205393
719	0.3077812765
720	0.3077245648
721	0.3075809109
722	0.3074684333
723	0.3073243403
724	0.3071978115
725	0.3069231364
726	0.3068045113
727	0.306608807
728	0.3065595263
729	0.3064923437
730	0.3063477778
731	0.3062347598
732	0.30605412
733	0.3059460334
734	0.3058263951
735	0.3057608
736	0.3055978595
737	0.3055104106
738	0.3054749785
739	0.3054023578
740	0.3052469495
741	0.305154907
742	0.3050414836
743	0.3049190418
744	0.3048085908
745	0.3046995922
746	0.3045551952
747	0.3044465344
748	0.3042686644
749	0.3041837489
750	0.3040154715
751	0.303914343
752	0.3037058709
753	0.3035804229
754	0.3033754975
755	0.3031223384
756	0.3030009436
757	0.3028833994
758	0.302736503
759	0.3026380766
760	0.3025054678
761	0.3023288813
762	0.3020930161
763	0.301985605
764	0.3018386748
765	0.3015666343
766	0.3014432129
767	0.3012691935
768	0.3011483391
769	0.3010325514
770	0.3008617745
771	0.3007380154
772	0.3006407374
773	0.3004620567
774	0.3003709262
775	0.3001883274
776	0.3000282917
777	0.2998400183
778	0.2997401058
779	0.2996460028
780	0.299511131
781	0.2993662612
782	0.2991590727
783	0.2989897483
784	0.2988585581
785	0.2987528359
786	0.2985632453
787	0.2984462415
788	0.2982823552
789	0.2981814969
790	0.2981329255
791	0.2980031877
792	0.2978964522
793	0.2976041117
794	0.2975006863
795	0.2973284909
796	0.2970619223
797	0.2969662656
798	0.2969075611
799	0.2967698182
800	0.2967247934
801	0.2966166055
802	0.2964925761
803	0.2963768558
804	0.2962356677
805	0.2960346942
806	0.2959118132
807	0.2957702873
808	0.2956014358
809	0.2954867289
810	0.2954295105
811	0.2953086899
812	0.2952191469
813	0.2951648672
814	0.2949139036
815	0.2947985887
816	0.2947052627
817	0.2945376271
818	0.2944401803
819	0.2942911221
820	0.2941560476
821	0.2940071921
822	0.2938928229
823	0.2938201685
824	0.2937061033
825	0.2935122568
826	0.2933704944
827	0.2932621038
828	0.2931682036
829	0.2930822072
830	0.292974357
831	0.292878599
832	0.2927223801
833	0.2926156446
834	0.2924306138
835	0.2922957758
836	0.2922156903
837	0.2920478183
838	0.2919504053
839	0.2918577548
840	0.2917418994
841	0.2916030082
842	0.2914290563
843	0.2913371827
844	0.2912341626
845	0.2910817943
846	0.2909741468
847	0.2908245144
848	0.2905830759
849	0.2904184803
850	0.290272158
851	0.2901111765
852	0.2899735012
853	0.2899185797
854	0.2897796546
855	0.2896436682
856	0.2894987983
857	0.2893537934
858	0.2891341074
859	0.2889675189
860	0.2887897502
861	0.2887222298
862	0.2886007
863	0.2884919378
864	0.2884157368
865	0.2883614908
866	0.2882771832
867	0.2881884847
868	0.2881434598
869	0.2880687788
870	0.2879113776
871	0.287863752
872	0.2876841255
873	0.2875408094
874	0.2874619738
875	0.2873752005
876	0.2873123752
877	0.2872194207
878	0.2870792459
879	0.2869573782
880	0.2868421309
881	0.286739685
882	0.2866825342
883	0.286556208
884	0.2864891605
885	0.2862982863
886	0.2861704064
887	0.2859642312
888	0.2858724251
889	0.2856703707
890	0.2855771798
891	0.28536837
892	0.2852639651
893	0.2851929319
894	0.2851569255
895	0.2850362063
896	0.2848913027
897	0.2847618014
898	0.2846515531
899	0.2844806411
900	0.2843336771
901	0.284213397
902	0.2840232659
903	0.2838542793
904	0.2838020599
905	0.283633715
906	0.2835186028
907	0.2834396996
908	0.2833134071
909	0.2831215534
910	0.2830569885
911	0.2829335334
912	0.2827889506
913	0.2826752233
914	0.28254709
915	0.2824646233
916	0.2823325887
917	0.2821856247
918	0.2821409714
919	0.2820457201
920	0.2819512963
921	0.2818725789
922	0.2817881193
923	0.2817325391
924	0.2816530279
925	0.2815821468
926	0.2814929753
927	0.2813914583
928	0.2812180469
929	0.2811414067
930	0.2810546672
931	0.2810077171
932	0.2807979109
933	0.280721676
934	0.2805872602
935	0.2804717764
936	0.2803876715
937	0.280240488
938	0.2801412678
939	0.2800387207
940	0.2799319514
941	0.2798453808
942	0.2797085836
943	0.2795720736
944	0.2794899109
945	0.2794542761
946	0.2794099944
947	0.2792782638
948	0.2790874741
949	0.2790153601
950	0.278928857
951	0.2788328119
952	0.2787187468
953	0.2785849727
954	0.2784140776
955	0.2783433485
956	0.2782741224
957	0.2781432193
958	0.2780049698
959	0.2779103603
960	0.2778412186
961	0.2777918365
962	0.2776323412
963	0.2775034986
964	0.2773690997
965	0.2772272022
966	0.2771397534
967	0.277090422
968	0.2769975013
969	0.2768502333
970	0.2767214245
971	0.2766430786
972	0.2765527249
973	0.2764220752
974	0.276339845
975	0.2762848221
976	0.276115447
977	0.2759035297
978	0.2758338645
979	0.2757446424
980	0.2756569572
981	0.2755723794
982	0.2754871261
983	0.2753345888
984	0.275273047
985	0.2752017437
986	0.2751088398
987	0.2750491389
988	0.2748767576
989	0.2747630302
990	0.2746436114
991	0.2746127054
992	0.2744739999
993	0.2744093844
994	0.2743325922
995	0.2742590258
996	0.2741668144
997	0.2740388669
998	0.2739505061
999	0.2739103451
